id,veh_value,exposure,veh_body,veh_age,gender,area,agecat,engine_type,max_power,driving_history_score,veh_color,marital_status,e_bill,time_of_week_driven,time_driven,trm_len,credit_score,low_education_ind
8295,6.36,0.777085187,SUV,3,M,A,2,hybrid,128,81,silver,S,1,weekend,6am - 12pm,12,644.7218082,0
17625,2.5600000000000005,0.528369388,STNWG,1,F,A,1,dissel,178,94,white,S,1,weekday,12pm - 6pm,12,634.3061958,0
3802,6.180000000000001,0.38459125,HDTOP,4,F,D,3,petrol,270,77,yellow,M,1,weekday,6pm - 12am,12,649.2451394,0
12865,6.49,0.116377548,SUV,3,M,D,4,petrol,120,59,gray,S,1,weekday,6am - 12pm,12,647.5946546,0
6495,6.46,0.688416901,SEDAN,2,F,C,4,petrol,94,81,green,S,1,weekday,6am - 12pm,12,657.5504997,0
4045,6.140000000000001,0.100653176,SUV,3,F,D,2,petrol,157,113,black,S,1,weekday,6pm - 12am,6,656.4913893,0
10462,4.78,0.160270304,SUV,1,M,C,6,petrol,124,70,white,S,0,weekday,12pm - 6pm,6,654.9758312,0
4773,6.36,0.639361198,SEDAN,4,M,B,6,petrol,132,82,blue,M,1,weekday,6am - 12pm,12,652.1988246,0
13727,6.380000000000001,0.999361558,STNWG,4,F,A,3,dissel,145,55,gray,M,1,weekday,6am - 12pm,12,643.2330392,1
4878,2.3600000000000003,0.047408036,STNWG,1,F,B,5,petrol,165,114,gray,M,1,weekday,6am - 12pm,12,659.6873291,0
19694,4.69,0.155169725,UTE,2,M,F,2,dissel,210,98,silver,S,1,weekday,12pm - 6pm,12,644.2802678,0
14928,6.29,0.751842867,SEDAN,2,M,B,4,hybrid,135,92,silver,M,1,weekend,6am - 12pm,12,646.2737513,0
12108,6.08,0.215272415,SEDAN,1,M,A,4,petrol,121,80,gray,M,1,weekday,6am - 12pm,12,642.6276893,0
135,5.460000000000001,0.175976983,SUV,1,F,D,1,hybrid,193,99,white,M,1,weekday,6am - 12pm,12,644.1513657,0
12342,5.57,0.41625293,SUV,1,M,C,2,petrol,106,55,black,M,1,weekday,12pm - 6pm,6,659.1675834,0
13539,5.26,0.028840807,SEDAN,1,F,E,4,electric,140,107,gray,M,1,weekday,12pm - 6pm,12,648.0723652,0
2931,6.640000000000001,0.553398561,SEDAN,3,M,B,4,dissel,97,62,red,S,0,weekend,12pm - 6pm,12,653.4570703,0
260,5.460000000000001,0.114068894,UTE,3,F,C,3,petrol,201,55,blue,S,0,weekend,6am - 12pm,12,662.870669,0
13269,6.51,0.902578526,SEDAN,3,F,A,3,petrol,95,82,white,S,0,weekday,6am - 12pm,12,666.6316441,1
18841,6.220000000000001,0.639876485,SEDAN,2,F,D,2,petrol,119,58,white,M,1,weekend,6pm - 12am,12,640.7927272,0
1228,6.1000000000000005,0.289186328,SUV,3,F,C,4,hybrid,195,75,black,S,0,weekend,6am - 12pm,12,644.4148931,0
16584,6.08,0.316672999,SEDAN,3,M,E,2,petrol,83,64,red,S,1,weekday,12pm - 6pm,6,683.4655996,0
6877,6.23,0.282885732,SUV,3,M,C,4,petrol,123,82,silver,M,0,weekday,6am - 12pm,6,651.6932119,0
19531,4.58,0.63247671,STNWG,3,F,A,1,dissel,178,55,blue,M,1,weekday,12pm - 6pm,12,667.3406443,0
3753,6.2,0.040292415,SEDAN,1,F,A,3,petrol,149,80,black,S,1,weekday,6am - 12pm,6,646.7194934,0
2054,5.57,0.128813226,SUV,1,M,D,3,petrol,169,91,black,M,0,weekday,12pm - 6pm,12,648.5581359,0
11286,7.09,0.442255226,SUV,4,F,C,2,petrol,175,83,gray,M,1,weekend,6am - 12pm,12,636.6171668,0
10000,6.66,0.656812059,UTE,4,F,A,3,dissel,176,75,gray,S,1,weekday,6am - 12pm,12,664.8338893,0
3247,4.65,0.05561129,STNWG,2,M,D,3,dissel,111,61,white,M,0,weekday,6am - 12pm,6,649.048699,0
200,6.25,0.178359917,SEDAN,3,M,C,6,petrol,91,55,red,M,1,weekday,12pm - 6pm,12,650.6398903,0
1636,4.11,0.231133859,STNWG,1,M,C,5,petrol,112,75,silver,S,1,weekday,6am - 12pm,6,640.7229836,0
10017,6.34,0.264031329,SEDAN,2,F,D,1,petrol,128,64,white,S,1,weekday,6am - 12pm,12,644.013467,0
18080,4.98,0.378268781,SUV,1,M,E,2,electric,162,79,silver,M,1,weekend,12pm - 6pm,12,642.410511,0
4575,1.92,0.57829001,STNWG,1,M,C,3,petrol,158,81,blue,M,1,weekend,6am - 12pm,12,663.8327407,0
9949,4.75,0.29252583,STNWG,2,M,C,3,petrol,162,100,gray,M,1,weekend,6am - 12pm,12,666.4556715,0
17122,4.5200000000000005,0.092172389,STNWG,2,F,C,5,electric,203,69,white,S,1,weekend,6am - 12pm,6,647.0069203,0
13513,2.79,0.523971776,STNWG,1,F,D,4,petrol,146,59,yellow,S,1,weekday,6am - 12pm,12,673.8781575,0
15346,4.92,0.054695827,STNWG,3,M,A,3,petrol,134,78,green,M,0,weekday,12pm - 6pm,12,658.0472571,0
15908,4.390000000000001,0.52126767,STNWG,3,M,A,4,dissel,192,98,white,S,1,weekday,6am - 12pm,12,640.7958006,0
2646,5.69,0.525353981,SUV,2,F,C,2,petrol,164,73,white,S,0,weekday,12pm - 6pm,12,645.689258,0
16838,5.540000000000001,0.454970385,STNWG,4,M,B,3,dissel,133,120,blue,M,0,weekday,12pm - 6pm,12,664.5978038,0
8545,3.09,0.077284186,UTE,1,F,E,3,petrol,232,63,blue,M,1,weekday,6pm - 12am,6,639.010494,0
19373,7.15,0.726805172,SUV,4,F,D,6,petrol,139,77,gray,S,1,weekend,6pm - 12am,12,654.0225563,0
2603,6.470000000000001,0.620348581,SUV,4,M,C,2,petrol,183,79,black,S,0,weekday,6am - 12pm,12,642.4059643,0
16103,5.8100000000000005,0.132244982,STNWG,2,M,B,3,hybrid,112,88,green,M,1,weekday,12pm - 6pm,12,648.7238126,0
7140,5.98,0.644617473,UTE,4,F,B,3,petrol,182,60,white,S,1,weekend,12pm - 6pm,12,643.2084622,0
7564,6.8500000000000005,0.819252245,SUV,4,F,A,2,petrol,193,73,yellow,S,1,weekday,12am - 6 am,12,649.89594,0
22051,5.640000000000001,0.379761267,STNWG,4,M,B,1,dissel,161,99,white,M,1,weekday,12pm - 6pm,12,663.1279227,0
11800,5.6000000000000005,0.196287318,MIBUS,3,M,C,4,dissel,207,74,red,M,1,weekday,6am - 12pm,12,648.5820612,0
20585,5.720000000000001,0.926217498,SEDAN,3,M,B,3,electric,115,74,green,S,0,weekday,6am - 12pm,12,646.0371635,1
11843,6.8100000000000005,0.0299309,TRUCK,3,F,F,6,dissel,298,77,blue,M,0,weekday,12pm - 6pm,12,652.6548328,0
21708,6.57,0.343163896,SUV,4,F,C,5,petrol,115,58,gray,S,0,weekday,12pm - 6pm,6,648.841577,0
3473,6.54,0.753065743,SUV,4,F,C,3,dissel,190,83,silver,M,0,weekend,12pm - 6pm,12,643.0827325,0
21325,7.0600000000000005,0.777293863,SEDAN,4,M,C,3,petrol,82,55,white,S,1,weekday,12pm - 6pm,12,648.2196192,0
19784,5.0600000000000005,0.527547814,SUV,1,M,D,6,petrol,163,64,blue,M,1,weekday,6pm - 12am,12,652.9856009,0
3994,5.8500000000000005,0.584889233,SUV,2,F,A,5,electric,101,82,black,S,1,weekday,12pm - 6pm,12,656.4475447,0
5437,5.08,0.309603035,STNWG,2,M,F,1,dissel,166,86,green,S,1,weekday,6am - 12pm,6,647.0075745,0
13139,6.8500000000000005,0.462817507,SUV,4,M,A,6,petrol,170,75,gray,S,1,weekday,6am - 12pm,12,659.9975389,0
2993,6.15,0.806739421,SEDAN,2,M,C,3,petrol,94,85,yellow,S,1,weekday,6pm - 12am,12,640.2700394,0
4611,6.3500000000000005,0.393039257,UTE,4,M,E,3,hybrid,266,82,white,S,1,weekend,6am - 12pm,6,641.8256646,0
13436,6.0,0.356801282,STNWG,4,F,A,2,petrol,115,70,blue,M,1,weekday,6am - 12pm,12,651.7955531,0
5478,6.24,0.945594672,SEDAN,2,F,D,4,petrol,90,110,green,S,1,weekday,6am - 12pm,12,642.1407833,1
14879,6.73,0.659993084,SEDAN,4,M,A,6,petrol,95,75,gray,M,0,weekend,12pm - 6pm,12,648.5194493,0
6551,6.59,0.388956662,SUV,3,F,D,4,electric,184,71,red,S,0,weekday,6am - 12pm,12,649.1688894,0
13376,5.45,0.07163434,STNWG,3,M,B,3,petrol,117,111,silver,M,1,weekday,12pm - 6pm,12,650.6180326,0
6308,6.76,0.136535172,SEDAN,3,M,C,4,electric,73,82,green,S,0,weekday,12pm - 6pm,6,653.9772471,0
1513,6.86,0.610139551,SEDAN,4,M,C,6,petrol,96,55,black,M,1,weekend,6pm - 12am,12,645.1708096,0
7586,5.87,0.577350678,SUV,3,M,A,5,dissel,126,70,blue,S,1,weekend,12am - 6 am,12,650.5967658,0
3508,3.5500000000000007,0.05763761,STNWG,2,M,C,4,electric,147,78,red,S,1,weekday,6am - 12pm,12,644.6082346,0
829,5.19,0.282639057,SEDAN,1,M,D,6,petrol,107,77,yellow,S,1,weekday,6am - 12pm,6,640.4588881,0
14724,5.78,0.174562029,SEDAN,2,M,B,6,petrol,112,68,black,S,1,weekday,6pm - 12am,6,643.8060556,0
14339,6.5200000000000005,0.376936006,SUV,3,M,C,4,electric,157,65,white,S,0,weekday,12pm - 6pm,12,685.3909879,0
18034,6.51,0.425292856,SUV,3,M,D,2,petrol,127,69,silver,M,0,weekday,6am - 12pm,12,643.1674683,0
4323,5.37,0.478479933,UTE,1,M,C,4,dissel,208,75,gray,M,0,weekday,6pm - 12am,12,648.1340899,0
1312,4.1,0.260402672,STNWG,2,M,F,3,petrol,203,65,silver,S,1,weekday,12pm - 6pm,6,645.5151033,0
7268,6.6000000000000005,0.385416723,SEDAN,3,M,B,2,electric,104,70,white,M,1,weekend,6pm - 12am,12,652.6784882,0
16729,4.640000000000001,0.332165164,STNWG,3,M,B,4,electric,100,55,gray,M,1,weekday,6pm - 12am,12,639.9014361,0
6538,6.65,0.125911747,STNWG,4,F,E,2,petrol,103,61,black,S,1,weekday,6am - 12pm,12,653.3997264,0
15988,4.630000000000001,0.514342099,SUV,1,M,D,6,electric,150,96,black,M,0,weekday,6am - 12pm,12,648.313253,0
13291,6.99,0.518926926,SEDAN,4,M,C,5,hybrid,97,96,gray,S,1,weekday,12am - 6 am,12,643.0567973,0
8940,5.82,0.527435723,STNWG,3,F,A,4,petrol,168,78,white,S,1,weekday,12am - 6 am,12,670.2950994,0
6951,6.46,0.045664642,STNWG,3,M,B,4,dissel,177,74,red,M,0,weekday,12pm - 6pm,12,645.3030465,0
20534,4.68,0.246998191,STNWG,2,F,F,3,petrol,140,82,blue,M,1,weekend,6pm - 12am,12,643.1939219,0
3734,6.220000000000001,0.469961531,STNWG,3,M,A,4,petrol,129,104,green,S,0,weekday,6am - 12pm,12,691.2954975,0
15177,7.1000000000000005,0.034816853,SEDAN,4,M,A,5,dissel,127,91,gray,M,1,weekday,6am - 12pm,6,675.4609916,0
4820,7.11,0.177868629,SEDAN,4,M,A,6,petrol,71,111,gray,S,1,weekend,6pm - 12am,12,644.4452326,0
3329,5.61,0.551875235,STNWG,4,F,A,5,dissel,187,136,white,S,1,weekend,12pm - 6pm,12,642.9586954,0
12675,5.890000000000001,0.38005459,SEDAN,1,F,C,5,electric,98,113,gray,S,1,weekday,6am - 12pm,12,646.3984625,0
4814,6.33,0.137922652,HDTOP,4,M,B,2,petrol,218,124,black,M,1,weekday,12pm - 6pm,12,669.1050003,0
