max_power,trm_len_6,engine_type_dissel,low_education_ind_0.0,marital_status_M,time_of_week_driven_weekday,time_driven_6am - 12pm,gender_F,veh_age_1,area_B,veh_age_4,veh_body_STNWG,agecat_3,area_A,veh_color_black,area_D,agecat_1,engine_type_hybrid,veh_color_yellow,agecat_2,veh_color_red,time_driven_6pm - 12am,veh_body_COUPE,veh_body_RDSTR,veh_body_UTE,veh_body_CONVT,driving_history_score,veh_body_HDTOP,veh_color_brown,claim_amt,claim_cnt,claim_sev,claim_freq,sample
161,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,73.0,0,0,2023.198184,1,2023.198184,2.760974685247091,1|bld
100,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,88.0,0,0,3600.172234,1,3600.172234,1.5821075132678384,1|bld
74,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,55.0,0,0,2021.144067,1,2021.144067,2.721383011200505,1|bld
121,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,98.0,0,0,4006.845492,1,4006.845492,1.2465967363710997,1|bld
75,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66.0,0,0,2542.953931,1,2542.953931,2.0618171630105926,1|bld
101,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,106.0,0,0,4216.310125,1,4216.310125,1.0574703126445346,1|bld
226,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,102.0,1,0,4058.602445,1,4058.602445,1.171877679754663,1|bld
86,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55.0,0,0,3527.8550910000004,1,3527.8550910000004,1.5425082780789128,1|bld
95,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.0,0,0,2002.774201,1,2002.774201,2.6060246061208154,1|bld
248,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,84.0,0,0,2021.467231,1,2021.467231,2.6517427082040914,1|bld
126,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,120.0,0,0,3588.592127,1,3588.592127,1.2529011458515178,1|bld
76,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,111.0,0,0,2429.864858,1,2429.864858,2.0577582152740344,1|bld
138,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,56.0,0,0,4713.809284999999,1,4713.809284999999,1.224256799361886,1|bld
110,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,107.0,0,0,4283.724092,1,4283.724092,1.187275700839259,1|bld
208,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,120.0,0,0,3990.50539,1,3990.50539,1.0006771161760775,1|bld
277,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,1,0,4573.033445,1,4573.033445,1.180557699825461,1|bld
136,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,103.0,0,0,2102.737282,1,2102.737282,3.2760705575309585,1|bld
188,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,0,0,4181.198503,1,4181.198503,1.359856751819455,1|bld
127,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,115.0,0,0,3932.77235,1,3932.77235,1.1649086845264602,1|bld
95,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100.0,0,0,2142.930175,1,2142.930175,2.5307996994756343,1|bld
129,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,77.0,0,0,3632.123494,1,3632.123494,1.4784016335841308,1|bld
112,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,102.0,0,0,4241.361275,1,4241.361275,1.0370968603177517,1|bld
110,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,0,0,5825.740709000001,1,5825.740709000001,1.008845709498897,1|bld
197,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,75.0,0,0,3540.452356,1,3540.452356,1.4154689601748027,1|bld
152,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,93.0,0,0,2314.691121,1,2314.691121,2.351336580127856,1|bld
184,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,57.0,0,0,4341.766331,1,4341.766331,1.2082809233427627,1|bld
189,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.0,0,0,4152.930829,1,4152.930829,1.1718511482515896,1|bld
157,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,96.0,0,0,2356.159931,1,2356.159931,2.272065853702116,1|bld
78,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,106.0,0,0,2124.873061,1,2124.873061,2.3662823291356245,1|bld
110,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,64.0,0,0,4049.930534,1,4049.930534,1.344000422768773,1|bld
93,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,4687.000918,1,4687.000918,1.0622478752676336,1|bld
142,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.0,0,1,3388.415392,1,3388.415392,1.7828599174354363,1|bld
123,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,68.0,0,0,4745.091294,1,4745.091294,1.2308723816621137,1|bld
103,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,102.0,0,0,2352.980935,1,2352.980935,2.093102636974845,1|bld
199,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,73.0,0,0,4011.46246,1,4011.46246,1.6671795105345348,1|bld
