id,fold,sample,veh_value,exposure,veh_body,veh_age,gender,area,agecat,engine_type,max_power,driving_history_score,veh_color,marital_status,e_bill,time_of_week_driven,time_driven,trm_len,credit_score,low_education_ind,clm,numclaims,claimcst0
1,2,1|bld,5.800000000000001,0.362190934,SUV,2,F,B,1,hybrid,161,73.0,black,M,0,weekday,12pm - 6pm,6,646.516468959908,0.0,1,1,2023.198184
2,3,1|bld,5.67,0.632068296,STNWG,4,F,A,2,dissel,100,88.0,green,S,0,weekend,6am - 12pm,12,635.4003694635038,0.0,1,1,3600.1722339999997
3,1,1|bld,5.9,0.36746022,SEDAN,2,F,C,2,petrol,74,55.0,gray,M,0,weekday,6am - 12pm,12,646.4631312352559,0.0,1,1,2021.144067
4,2,1|bld,4.790000000000001,0.802184035,STNWG,3,M,B,4,dissel,121,98.0,black,M,1,weekday,6pm - 12am,12,645.5987936458331,0.0,1,1,4006.845492
5,2,1|bld,6.680000000000001,0.485009058,SEDAN,3,M,C,1,petrol,75,66.0,blue,S,0,weekday,6am - 12pm,12,657.3486121946447,0.0,1,1,2542.953931
6,2,1|bld,4.5600000000000005,0.945653025,PANVN,1,F,C,1,petrol,101,106.0,silver,S,1,weekday,6am - 12pm,12,648.5957345781595,1.0,1,1,4216.310125
7,3,1|bld,6.430000000000001,0.853331382,HDTOP,4,F,C,2,dissel,226,102.0,red,S,1,weekday,12pm - 6pm,12,641.4572146319845,1.0,1,1,4058.6024450000004
8,1,1|bld,6.16,0.648294738,SEDAN,1,M,A,4,petrol,86,55.0,white,M,1,weekday,12pm - 6pm,12,639.2014502275869,0.0,1,1,3527.8550910000004
9,3,1|bld,6.390000000000001,0.383726231,SEDAN,2,M,C,4,dissel,95,98.0,white,M,1,weekday,6am - 12pm,12,643.6053452139595,0.0,1,1,2002.774201
10,4,2|val,6.49,0.746884135,TRUCK,4,F,B,2,dissel,267,74.0,blue,M,0,weekday,12pm - 6pm,12,648.1363547858149,0.0,1,1,3906.881054
11,2,1|bld,6.34,0.377110493,COUPE,4,M,A,4,petrol,248,84.0,green,M,0,weekday,6am - 12pm,6,648.015660479657,0.0,1,1,2021.467231
12,1,1|bld,5.24,0.798147566,MCARA,4,F,A,1,petrol,126,120.0,white,S,0,weekday,12pm - 6pm,12,662.5343319694516,0.0,1,1,3588.592127
13,2,1|bld,5.5600000000000005,0.485965743,SEDAN,1,F,D,5,petrol,76,111.0,silver,M,0,weekday,6am - 12pm,6,640.6007489578296,1.0,1,1,2429.864858
14,4,2|val,6.5600000000000005,0.848036081,SEDAN,3,M,D,4,electric,129,59.0,blue,S,1,weekday,6am - 12pm,12,654.6862051761476,0.0,1,1,4260.552605
